item,ave_score,ave_discounted_score
1,3.8853950843428535,3.8423950843428614
3,3.342784156286789,3.3323841562867886
6,3.9602768004097806,3.939876800409782
47,3.943604815802797,3.9030048158028006
50,4.191502261820324,4.150702261820319
70,3.5731320793256263,3.562132079325625
101,3.760520929338734,3.755920929338727
110,3.9727829834250286,3.9253829834250253
151,3.58218946060815,3.57338946060815
157,3.1058290753731432,3.103629075373142
163,3.587470883171875,3.5742708831718746
216,3.4116376738822956,3.4018376738822984
223,3.8741959403304755,3.8533959403304743
231,3.0985660643596358,3.0719660643596365
235,3.6937404923142227,3.6797404923142203
260,4.10492388764261,4.054723887642615
296,3.931321179352609,3.8699211793526063
316,3.4205686866617935,3.392568686661792
333,3.811186703851431,3.8011867038514313
349,3.6547372181193176,3.632737218119319
356,3.388286971316836,3.322486971316836
362,3.5822856198180415,3.575485619818037
367,3.232833953395146,3.201433953395145
423,3.1288476554167537,3.126847655416751
441,3.916328189151904,3.9079281891519027
457,3.990559248766833,3.952559248766833
480,3.6916159138678766,3.6440159138678796
500,3.4305705129459114,3.4017705129459106
527,4.154558059477538,4.110558059477537
543,3.361966319719981,3.3537663197199823
552,3.334007889665371,3.321807889665377
553,3.8425829288035933,3.8295829288035947
590,3.8544596336241796,3.821659633624178
592,3.4390577715451003,3.4012577715451027
593,3.9709993392061755,3.9151993392061772
596,3.478741985245887,3.466741985245892
608,4.1021674278990785,4.065967427899076
648,3.5868628579098916,3.55446285790989
661,3.4657554999224436,3.455955499922444
673,2.8368999598389375,2.8262999598389373
733,3.68680518039155,3.662605180391558
736,3.4000663121266372,3.3754663121266364
780,3.468876929114761,3.428476929114763
804,3.4068800627495763,3.4052800627495747
919,3.8948797854835617,3.8764797854835624
923,4.031058059021193,4.017258059021194
940,3.8375138105740954,3.8359138105740946
943,3.7884057098668653,3.7870057098668597
954,3.9965941923438892,3.9929941923438848
1009,3.2683278715470054,3.2665278715470047
1023,3.630158076145131,3.6275580761451214
1024,3.633738812156536,3.632538812156534
1025,3.602555073868403,3.5975550738684046
1029,3.4335187998935752,3.4265187998935787
1030,3.0071849235288632,3.004184923528859
1031,3.5315143861931424,3.526714386193142
1032,3.4137563634685746,3.405756363468578
1042,3.359949119377098,3.351549119377101
1049,3.556286349764281,3.552086349764285
1060,3.7193295135016937,3.712129513501695
1073,3.8790380096347734,3.8552380096347703
1080,3.9251099856190237,3.907309985619022
1089,4.202179919142332,4.175979919142344
1090,3.9727933753295206,3.960193375329521
1092,3.2548507481741047,3.245450748174108
1097,3.775285966880422,3.7508859668804226
1127,3.519295644757205,3.506895644757209
1136,4.143891224072038,4.116691224072034
1196,4.162358416455393,4.120158416455393
1197,4.224016649957419,4.195616649957422
1198,4.177016396476763,4.137016396476751
1206,4.000013845589631,3.976013845589629
1208,4.2073085715430345,4.185908571543028
1210,4.1166557569992435,4.077455756999249
1213,4.253720483822106,4.228520483822108
1214,3.976291472950531,3.947091472950527
1219,4.041072430136862,4.024472430136855
1220,3.829245907262752,3.8124459072627443
1222,4.108202735070444,4.087802735070441
1224,3.9407676168464567,3.936967616846457
1226,3.5359612874292408,3.5347612874292422
1240,3.9166640801318153,3.890464080131811
1256,3.775846678282569,3.771246678282577
1258,4.108509571386201,4.08670957138619
